processes,workers,x,total_samples,seed,estimate,exact,abs_error,total_elapsed_sec,max_worker_compute_sec,overhead_estimate_sec,baseline_processes,speedup,efficiency
1,0,1.5707963267948966,10000,12345,1.003994252202666,0.9999999999999998,0.0039942522026662,0.000153904,0.000153733,1.71e-07,1,1.0,1.0
2,1,1.5707963267948966,10000,12345,1.0063241996363244,0.9999999999999998,0.0063241996363244,0.00017274,0.00015714,1.56e-05,1,0.8909575083941184,0.4454787541970592
4,3,1.5707963267948966,10000,12345,1.003914149589057,0.9999999999999998,0.003914149589057,8.378e-05,6.5866e-05,1.7914e-05,1,1.8370016710432084,0.4592504177608021
8,7,1.5707963267948966,10000,12345,0.9968171788531957,0.9999999999999998,0.0031828211468041,0.000231711,3.5988e-05,0.000195723,1,0.6642067057670978,0.08302583822088723
1,0,1.5707963267948966,100000,12345,1.0007879287912176,0.9999999999999998,0.0007879287912176,0.001380502,0.001380312,1.9e-07,1,1.0,1.0
2,1,1.5707963267948966,100000,12345,1.0017350863871743,0.9999999999999998,0.0017350863871744,0.001391974,0.001375482,1.6492e-05,1,0.991758466752971,0.4958792333764855
4,3,1.5707963267948966,100000,12345,1.001614352081376,0.9999999999999998,0.0016143520813761,0.000499242,0.000475417,2.3825e-05,1,2.765196037192384,0.691299009298096
8,7,1.5707963267948966,100000,12345,0.9998416662404372,0.9999999999999998,0.0001583337595625,0.000595866,0.000377931,0.000217935,1,2.3167994146334916,0.28959992682918645
1,0,1.5707963267948966,1000000,12345,0.999955872501096,0.9999999999999998,4.4127498903812075e-05,0.031271044,0.031270612,4.32e-07,1,1.0,1.0
2,1,1.5707963267948966,1000000,12345,0.9992345297757416,0.9999999999999998,0.0007654702242583,0.038735054,0.038684538,5.0516e-05,1,0.8073060644242293,0.4036530322121146
4,3,1.5707963267948966,1000000,12345,0.9996434817023014,0.9999999999999998,0.0003565182976984,0.015169753,0.015109125,6.0628e-05,1,2.06140759180456,0.51535189795114
8,7,1.5707963267948966,1000000,12345,0.9998308213713872,0.9999999999999998,0.0001691786286127,0.006071757,0.00603175,4.0007e-05,1,5.150246296088595,0.6437807870110743
1,0,1.5707963267948966,10000000,12345,1.0000489095688514,0.9999999999999998,4.890956885150732e-05,0.445726784,0.445726243,5.41e-07,1,1.0,1.0
2,1,1.5707963267948966,10000000,12345,0.999978118958966,0.9999999999999998,2.1881041033733336e-05,0.369398461,0.369309479,8.8982e-05,1,1.2066286978927072,0.6033143489463536
4,3,1.5707963267948966,10000000,12345,1.0000306597603807,0.9999999999999998,3.0659760380857826e-05,0.119761204,0.11970983,5.1374e-05,1,3.721796116879386,0.9304490292198465
8,7,1.5707963267948966,10000000,12345,0.999927251067289,0.9999999999999998,7.274893271080883e-05,0.049554583,0.049503556,5.1027e-05,1,8.994663197952852,1.1243328997441064
